000998,A01,
002041,A01,
300087,A01,
300143,A01,
300189,A01,
600108,A01,
600354,A01,
600359,A01,
600371,A01,
600506,A01,
600540,A01,
600598,A01,
601118,A01,
000592,A02,
000663,A02,
002200,A02,
002679,A02,
600265,A02,
000735,A03,
002234,A03,
002299,A03,
002321,A03,
002458,A03,
002477,A03,
002505,A03,
300106,A03,
300313,A03,
600965,A03,
600975,A03,
000798,A04,
002069,A04,
002086,A04,
002447,A04,
002696,A04,
200992,A04,
300094,A04,
600097,A04,
600257,A04,
600467,A04,
000713,A05,
000552,B06,
000571,B06,
000780,B06,
000937,B06,
000939,B06,
000983,B06,
002128,B06,
600121,B06,
600123,B06,
600157,B06,
600188,B06,
600348,B06,
600395,B06,
600397,B06,
600403,B06,
600508,B06,
600652,B06,
600714,B06,
600971,B06,
601001,B06,
601088,B06,
601101,B06,
601666,B06,
601699,B06,
601898,B06,
601918,B06,
300164,B07,
600028,B07,
600583,B07,
601808,B07,
601857,B07,
000409,B08,
000629,B08,
000655,B08,
000762,B08,
600193,B08,
600532,B08,
600882,B08,
000426,B09,
000603,B09,
000688,B09,
000697,B09,
000758,B09,
000975,B09,
002155,B09,
600139,B09,
600259,B09,
600311,B09,
600489,B09,
600497,B09,
600547,B09,
600711,B09,
600766,B09,
600988,B09,
601168,B09,
601899,B09,
601958,B09,
603993,B09,
002207,B11,
002554,B11,
002629,B11,
002683,B11,
300084,B11,
300157,B11,
300191,B11,
000048,C13,
000529,C13,
000639,C13,
000702,C13,
000860,C13,
000876,C13,
000893,C13,
000895,C13,
000911,C13,
000972,C13,
002100,C13,
002124,C13,
002143,C13,
002157,C13,
002220,C13,
002286,C13,
002311,C13,
002330,C13,
002385,C13,
002515,C13,
002548,C13,
002557,C13,
002567,C13,
002582,C13,
002604,C13,
002695,C13,
002702,C13,
300138,C13,
300175,C13,
300268,C13,
600095,C13,
600127,C13,
600191,C13,
600251,C13,
600438,C13,
600695,C13,
600737,C13,
000716,C14,
002216,C14,
002329,C14,
002481,C14,
002495,C14,
002507,C14,
002570,C14,
002626,C14,
002650,C14,
002661,C14,
300146,C14,
300149,C14,
600073,C14,
600186,C14,
600298,C14,
600305,C14,
600429,C14,
600597,C14,
600866,C14,
600872,C14,
600873,C14,
600887,C14,
000019,C15,
000557,C15,
000568,C15,
000596,C15,
000729,C15,
000752,C15,
000799,C15,
000848,C15,
000858,C15,
000869,C15,
000929,C15,
000995,C15,
002304,C15,
002387,C15,
002461,C15,
002646,C15,
600059,C15,
600084,C15,
600090,C15,
600132,C15,
600197,C15,
600199,C15,
600238,C15,
600300,C15,
600365,C15,
600519,C15,
600543,C15,
600559,C15,
600573,C15,
600600,C15,
600616,C15,
600702,C15,
600779,C15,
600809,C15,
600962,C15,
000018,C17,
000158,C17,
000611,C17,
000726,C17,
000779,C17,
000803,C17,
000810,C17,
000813,C17,
000850,C17,
000955,C17,
000971,C17,
000982,C17,
002015,C17,
002034,C17,
002042,C17,
002070,C17,
002072,C17,
002083,C17,
002087,C17,
002144,C17,
002193,C17,
002293,C17,
002327,C17,
002394,C17,
002397,C17,
002516,C17,
600061,C17,
600070,C17,
600152,C17,
600156,C17,
600220,C17,
600232,C17,
600273,C17,
600370,C17,
600448,C17,
600483,C17,
600493,C17,
600630,C17,
600689,C17,
600851,C17,
600987,C17,
601339,C17,
601599,C17,
002003,C18,
002029,C18,
002036,C18,
002044,C18,
002154,C18,
002239,C18,
002269,C18,
002291,C18,
002404,C18,
002425,C18,
002485,C18,
002486,C18,
002503,C18,
002563,C18,
002569,C18,
002612,C18,
002634,C18,
002656,C18,
002687,C18,
300005,C18,
600107,C18,
600137,C18,
600177,C18,
600233,C18,
600398,C18,
600400,C18,
601566,C18,
601718,C18,
002494,C19,
002517,C19,
002674,C19,
600439,C19,
600735,C19,
603001,C19,
000910,C20,
002043,C20,
002240,C20,
002259,C20,
002354,C20,
002631,C20,
600189,C20,
600321,C20,
601996,C20,
002174,C21,
002489,C21,
002572,C21,
600337,C21,
600978,C21,
603008,C21,
000488,C22,
000576,C22,
000815,C22,
000820,C22,
000833,C22,
002012,C22,
002067,C22,
002078,C22,
002228,C22,
002235,C22,
002303,C22,
002511,C22,
002521,C22,
002565,C22,
200986,C22,
600069,C22,
600103,C22,
600163,C22,
600235,C22,
600308,C22,
600356,C22,
600419,C22,
600433,C22,
600462,C22,
600567,C22,
600793,C22,
600963,C22,
600966,C22,
000812,C23,
002117,C23,
002191,C23,
002229,C23,
002599,C23,
600836,C23,
601515,C23,
002103,C24,
002292,C24,
002301,C24,
002348,C24,
002502,C24,
002575,C24,
002605,C24,
002678,C24,
300043,C24,
300329,C24,
000059,C25,
000637,C25,
000698,C25,
000723,C25,
000819,C25,
000835,C25,
000968,C25,
002377,C25,
600179,C25,
600281,C25,
600333,C25,
600688,C25,
600721,C25,
600725,C25,
600740,C25,
600792,C25,
600997,C25,
601011,C25,
000155,C26,
000407,C26,
000422,C26,
000510,C26,
000523,C26,
000525,C26,
000553,C26,
000565,C26,
000627,C26,
000635,C26,
000662,C26,
000683,C26,
000707,C26,
000731,C26,
000737,C26,
000755,C26,
000792,C26,
000818,C26,
000822,C26,
000830,C26,
000912,C26,
000930,C26,
000950,C26,
000953,C26,
000985,C26,
000990,C26,
002002,C26,
002004,C26,
002010,C26,
002018,C26,
002037,C26,
002053,C26,
002054,C26,
002057,C26,
002061,C26,
002068,C26,
002092,C26,
002094,C26,
002096,C26,
002109,C26,
